Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
Salem State University,-70.889321,42.502879,540,540,,24,69,8130,22084,28224,Public,7664,22,1095,4855
Simmons College,-71.099967,42.3393,630,620,640,28,49,35380,52610,52610,Private not-for-profit,1732,66,339,4239
Bard College at Simon's Rock,-73.380008,42.209241,,,,,92,46713,61403,61403,Private not-for-profit,350,,145,218
Smith College,-72.638094,42.317933,,,,,43,43114,60167,60167,Private not-for-profit,2606,82,643,4403
Springfield College,-72.555688,42.105033,550,580,,25,70,32560,46480,46480,Private not-for-profit,2182,58,513,2231
University of Massachusetts-Dartmouth,-71.005528,41.628861,570,590,560,25,72,11681,25355,37830,Public,7437,30,1443,8063
Stonehill College,-71.078123,42.061448,610,620,620,28,71,36160,52370,52370,Private not-for-profit,2481,82,610,6548
Suffolk University,-71.061969,42.359088,560,570,560,25,83,31716,49979,49979,Private not-for-profit,5658,41,1188,9275
Tufts University,-71.120641,42.406004,750,770,770,33,19,46598,61000,61000,Private not-for-profit,5180,87,1314,18419
Wellesley College,-71.307966,42.293765,760,750,760,33,29,43554,59092,59092,Private not-for-profit,2474,84,595,4765
Wentworth Institute of Technology,-71.094983,42.336632,580,630,560,27,58,29200,46750,46750,Private not-for-profit,4012,50,900,6146
Western New England University,-72.518789,42.115837,570,610,,26,82,33020,48890,48890,Private not-for-profit,2667,52,697,5988
Westfield State University,-72.795673,42.131589,540,550,,22,75,8694,21296,27376,Public,5692,44,1288,5137
Wheaton College,-71.184167,41.966813,,,,,67,45074,58574,58574,Private not-for-profit,1654,71,466,3944
Wheelock College,-71.10582,42.342503,550,540,540,25,73,31880,47870,47870,Private not-for-profit,880,46,217,1570
Williams College,-73.205888,42.711669,780,780,780,34,17,46600,61850,61850,Private not-for-profit,2096,90,547,7069
Worcester Polytechnic Institute,-71.808792,42.275067,,,,,52,42778,58060,58060,Private not-for-profit,4134,70,1103,8578
Worcester State University,-71.844019,42.267534,550,560,540,24,61,8157,22718,28798,Public,5556,34,780,4149
Adrian College,-84.059947,41.898449,530,440,,24,56,30758,42740,42740,Private not-for-profit,1649,39,496,4675
Albion College,-84.746088,42.244603,580,590,,28,56,36051,48195,48195,Private not-for-profit,1307,64,346,4430
Alma College,-84.670073,43.379236,550,630,630,27,68,32660,44287,44287,Private not-for-profit,1419,43,376,2699
Andrews University,-86.355149,41.963266,620,600,580,26,38,25470,35538,35538,Private not-for-profit,1905,29,388,2551
Aquinas College,-85.626166,42.960449,,,,26,71,26460,38012,38012,Private not-for-profit,1863,30,391,2789
Baker College of Owosso,-84.170882,42.987045,,,,,,8100,20100,20100,Private not-for-profit,2815,2,,
Baker College of Flint,-83.694679,42.974764,,,,,,8100,20100,20100,Private not-for-profit,4948,0,,
Calvin College,-85.587548,42.929916,650,660,,29,70,28250,41195,41195,Private not-for-profit,3959,57,1006,4003
Central Michigan University,-84.775275,43.591137,550,563,,24,63,11220,22004,34454,Public,20534,21,2963,19262
Concordia University-Ann Arbor,-83.682676,42.274723,,,,24,54,23563,35693,35693,Private not-for-profit,584,14,188,1150
Davenport University,-85.529655,42.849713,,,,,92,14096,26872,26872,Private not-for-profit,7356,8,581,1385
University of Detroit Mercy,-83.138369,42.417168,610,640,610,28,61,35920,52400,52400,Private not-for-profit,2888,35,481,3670
Eastern Michigan University,-83.624499,42.245751,570,570,540,24,64,9364,20756,36301,Public,19189,12,2636,11929
Ferris State University,-85.483509,43.687464,,,,24,76,10466,21878,28134,Public,13477,23,2006,10718
Kettering University,-83.714356,43.013112,630,660,,29,62,35600,51277,51277,Private not-for-profit,1684,11,372,2140
Grace Bible College,-85.692077,42.919541,,,,,75,12235,21949,21949,Private not-for-profit,579,17,136,346
Cornerstone University,-85.595602,42.979044,605,570,593,26,68,24168,35922,35922,Private not-for-profit,2200,30,362,2349
Grand Valley State University,-85.887519,42.965208,590,620,585,26,83,10716,22432,27104,Public,21235,33,4078,18122
Hope College,-86.105376,42.788052,660,680,,29,73,28720,40050,40050,Private not-for-profit,3388,68,822,4161
Kalamazoo College,-85.601317,42.290382,670,690,650,30,67,39450,50800,50800,Private not-for-profit,1458,72,454,2528
Lake Superior State University,-84.3655,46.491736,570,590,570,25,92,9960,21788,26708,Public,2429,17,418,1481
Lawrence Technological University,-83.25003,42.474072,630,630,580,28,44,28948,43061,43061,Private not-for-profit,3033,16,341,1819
Madonna University,-83.407306,42.386463,630,640,570,25,61,16340,27944,27944,Private not-for-profit,3352,31,191,1089
Marygrove College,-83.154109,42.414415,,,,18,94,19850,30730,30730,Private not-for-profit,1041,8,182,916
Rochester College,-83.144959,42.667521,,,,24,66,19920,28890,28890,Private not-for-profit,1117,19,149,1171
University of Michigan-Ann Arbor,-83.74313,42.276172,720,760,730,32,33,13142,26240,53490,Public,28283,76,6200,46813
Michigan State University,-84.473639,42.72476,580,690,580,28,69,12862,24648,45536,Public,37985,50,8061,31479
Michigan Technological University,-88.546403,47.1183,650,680,615,29,77,13728,26375,41255,Public,5617,24,1153,4520
University of Michigan-Dearborn,-83.231417,42.317287,,660,600,27,63,10614,,,Public,7144,15,954,4908
University of Michigan-Flint,-83.688474,43.018777,675,648,673,24,78,9356,23026,31908,Public,7143,9,724,3003
Baker College of Muskegon,-86.196717,43.244133,,,,,,8100,20100,20100,Private not-for-profit,4005,0,,
Northern Michigan University,-87.403857,46.558037,,,,25,73,9037,20273,25349,Public,8221,21,1680,6743
Oakland University,-83.218866,42.672586,,,,26,66,10613,21751,35011,Public,16594,15,2569,12019
Olivet College,-84.922864,42.440908,420,480,,22,51,23021,34181,34181,Private not-for-profit,1119,26,301,1995
Kuyper College,-85.592657,43.02195,550,580,560,25,68,18454,27970,27970,Private not-for-profit,288,37,37,152
Saginaw Valley State University,-83.96434,43.55187,,,,24,79,8423,19181,30534,Public,9163,10,1593,6057
Siena Heights University,-84.015144,41.905952,560,537,,23,68,21890,34014,34014,Private not-for-profit,2424,21,300,1422
Spring Arbor University,-84.551918,42.206233,575,570,540,26,65,23400,34046,34046,Private not-for-profit,2968,30,368,2698
Finlandia University,-88.589392,47.12709,,,,22,59,20480,32220,32220,Private not-for-profit,525,31,109,872
Wayne State University,-83.072864,42.35861,,,,26,76,11094,23586,36206,Public,18602,11,2167,11524
Western Michigan University,-85.61512,42.282589,,,,25,83,10355,22250,36004,Public,19198,24,3190,14621
Augsburg College,-93.241418,44.965636,623,590,,25,61,33209,45465,45465,Private not-for-profit,2716,47,380,2072
Bemidji State University,-94.874529,47.482505,,,,23,67,8124,18940,18940,Public,4727,26,838,3606
Bethany Lutheran College,-93.990744,44.166485,,,,26,75,24080,34150,34150,Private not-for-profit,579,38,147,531
Bethel University,-93.159295,45.057091,640,610,,28,95,31760,44300,44300,Private not-for-profit,3280,63,612,2118
Carleton College,-93.154662,44.462304,750,770,750,33,21,46167,60425,60425,Private not-for-profit,2045,90,527,7045
Concordia College at Moorhead,-96.765567,46.859423,650,630,,28,80,32814,42964,42964,Private not-for-profit,2531,62,684,2493
Concordia University-Saint Paul,-93.154369,44.951231,550,560,540,24,52,19700,30850,30850,Private not-for-profit,2206,30,287,1359
Martin Luther College,-94.473422,44.3046,,,,27,96,12300,21560,21560,Private not-for-profit,763,52,164,209
Gustavus Adolphus College,-93.971928,44.324968,680,660,,30,63,39120,50110,50110,Private not-for-profit,2449,81,610,4804
Hamline University,-93.163983,44.965696,640,600,610,27,66,35108,46398,46398,Private not-for-profit,2164,60,536,3427
Macalester College,-93.169855,44.936709,740,710,720,32,34,45388,57478,57478,Private not-for-profit,2039,85,555,6683
Minnesota State University-Mankato,-93.998494,44.147253,,,,24,66,7557,17562,25041,Public,13467,21,2456,9938
Metropolitan State University,-93.074153,44.957017,,,,,100,6642,,,Public,7647,10,100,306
University of Minnesota-Twin Cities,-93.235352,44.977886,690,740,670,30,44,13555,25281,31531,Public,34449,54,5544,43048
University of Minnesota-Crookston,-96.609863,47.802021,500,530,510,24,69,11448,22722,22722,Public,2839,34,213,762
University of Minnesota-Duluth,-92.085177,46.818896,590,620,570,26,78,12815,23355,27020,Public,10079,30,2054,7074
University of Minnesota-Morris,-95.901756,45.589829,690,640,640,28,58,12584,23206,23206,Public,1946,50,469,2649
