Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
Touro College,-73.989932,40.742172,,,,,59,15250,28472,28472,Private not-for-profit,6827,31,859,1732
Excelsior College,-73.862204,42.704887,,,,,,,,,Private not-for-profit,37440,,,
Union College,-73.928498,42.817578,680,720,690,31,37,46785,60150,60150,Private not-for-profit,2246,82,559,5725
United States Merchant Marine Academy,-73.762534,40.812154,,,,,,1032,9768,9768,Public,958,62,,
Utica College,-75.272407,43.095183,520,530,500,23,85,33320,48650,48650,Private not-for-profit,2881,30,489,3689
Vassar College,-73.894345,41.685105,740,730,750,33,24,47890,61320,61320,Private not-for-profit,2477,90,666,7597
Wagner College,-74.09573,40.615003,630,640,620,27,70,39220,53924,53924,Private not-for-profit,1842,53,430,2942
Wells College,-76.696512,42.744314,600,590,560,26,60,35900,49800,49800,Private not-for-profit,534,56,161,2214
Yeshiva University,-73.928541,40.8508,680,690,670,29,82,37600,55075,55075,Private not-for-profit,2887,60,857,1575
Appalachian State University,-81.680234,36.214844,620,620,590,28,63,6462,19058,31266,Public,16025,42,3028,12248
Barton College,-77.913805,35.735463,500,520,480,22,42,25396,39254,39254,Private not-for-profit,1057,41,217,2933
Belmont Abbey College,-81.041847,35.261276,540,530,,24,68,18500,32564,32564,Private not-for-profit,1647,33,283,2197
Bennett College,-79.77998,36.067531,,,,,83,17355,31035,31035,Private not-for-profit,680,25,194,1639
Brevard College,-82.729763,35.237657,520,530,,22,45,25200,37000,37000,Private not-for-profit,701,31,245,2299
Campbell University,-78.739508,35.409333,655,645,650,27,70,26240,42580,42580,Private not-for-profit,4465,39,788,11714
Catawba College,-80.486575,35.692445,540,560,,,41,26820,40743,40743,Private not-for-profit,1298,41,342,3226
Chowan University,-77.099141,36.436258,430,440,420,17,62,22510,31780,31780,Private not-for-profit,1361,15,474,3708
Davidson College,-80.845236,35.500006,730,710,710,33,26,42849,57458,57458,Private not-for-profit,1788,90,483,4745
Duke University,-78.94226,36.00159,760,790,780,34,13,45376,61748,61748,Private not-for-profit,6646,87,1714,30374
East Carolina University,-77.366199,35.606347,550,570,540,24,62,6143,20831,34944,Public,21508,31,4015,15535
Elizabeth City State University,-76.210063,36.273539,450,470,440,18,57,4429,13161,24018,Public,2336,21,527,3925
Elon University,-79.505632,36.104149,660,660,660,26,54,30149,43546,43546,Private not-for-profit,5599,77,1474,9949
Fayetteville State University,-78.894709,35.072485,450,470,430,19,55,4605,14854,25650,Public,5410,12,612,4010
Gardner-Webb University,-81.668141,35.24732,550,570,550,25,48,25830,37620,37620,Private not-for-profit,2587,43,435,5481
Greensboro College,-79.800232,36.071082,500,520,480,21,78,26306,39376,39376,Private not-for-profit,974,15,200,1314
Guilford College,-79.888848,36.092563,610,580,580,26,68,32470,45395,45395,Private not-for-profit,2302,49,407,3030
High Point University,-79.994545,35.972674,580,600,580,26,64,30715,43900,43900,Private not-for-profit,3999,58,1257,7663
Johnson C Smith University,-80.854842,35.243384,470,450,,19,37,18236,32136,32136,Private not-for-profit,1387,32,232,4777
Lees-McRae College,-81.870998,36.16362,,,,,66,24150,39250,39250,Private not-for-profit,890,30,226,1751
Lenoir-Rhyne University,-81.326161,35.73904,530,550,,23,68,29310,43360,43360,Private not-for-profit,1491,40,310,4762
Livingstone College,-80.484459,35.670743,410,410,390,16,71,16024,25920,25920,Private not-for-profit,1175,11,395,3270
Mars Hill University,-82.550859,35.825858,510,530,,23,64,25636,38224,38224,Private not-for-profit,1426,26,419,2899
Meredith College,-78.689175,35.797197,570,570,,25,62,30562,41878,41878,Private not-for-profit,1571,50,415,1762
Methodist University,-78.875024,35.137854,520,540,490,23,61,27830,47311,47311,Private not-for-profit,2243,18,452,4079
Montreat College,-82.297522,35.645844,550,530,,23,54,23520,35690,35690,Private not-for-profit,743,26,109,700
Mount Olive College,-78.071265,35.206314,490,530,,20,50,17300,27850,27850,Private not-for-profit,3414,26,333,2117
North Carolina A & T State University,-79.770152,36.076737,480,500,470,21,70,5422,15929,27010,Public,8872,16,1849,4480
University of North Carolina at Asheville,-82.565259,35.616618,650,640,620,27,64,6241,18765,32587,Public,3736,37,553,3036
University of North Carolina at Chapel Hill,-79.050969,35.912165,700,710,690,32,28,8340,24024,45806,Public,18370,81,3915,28437
University of North Carolina at Charlotte,-80.73579,35.306834,560,600,550,25,69,6107,19080,31609,Public,21503,26,3541,13742
University of North Carolina at Greensboro,-79.809844,36.067503,560,560,540,25,60,6382,19172,32970,Public,14753,30,2516,10112
North Carolina Central University,-78.898602,35.974237,460,470,450,19,50,5526,18547,29120,Public,6220,15,1407,8886
North Carolina State University at Raleigh,-78.674517,35.785111,640,670,620,30,50,8206,22184,35639,Public,24536,41,4398,20700
North Carolina Wesleyan College,-77.774231,36.017443,470,500,,20,47,26632,37812,37812,Private not-for-profit,1602,23,222,1634
University of North Carolina Wilmington,-77.875527,34.225223,620,630,600,26,54,6343,20601,32738,Public,12447,52,2053,11184
William Peace University,-78.636793,35.789105,520,510,,21,91,23900,38900,38900,Private not-for-profit,1007,38,328,1083
University of North Carolina at Pembroke,-79.201895,34.687231,500,510,480,21,72,5144,17622,26829,Public,5429,15,1020,3087
Pfeiffer University,-80.283168,35.484696,520,540,500,22,96,24150,37140,37140,Private not-for-profit,951,33,218,1662
Queens University of Charlotte,-80.832227,35.188929,560,580,560,26,77,29800,44124,44124,Private not-for-profit,1734,44,316,1949
Mid-Atlantic Christian University,-76.217496,36.303765,530,500,,20,41,12160,25090,25090,Private not-for-profit,162,30,37,168
Saint Augustine's University,-78.621806,35.785032,423,435,,17,67,17890,31642,31642,Private not-for-profit,1299,22,327,2560
Salem College,-80.241357,36.087531,620,580,,27,58,24566,41600,41600,Private not-for-profit,979,61,174,854
Shaw University,-78.637693,35.771181,,,,,54,16480,29378,29378,Private not-for-profit,1923,16,507,6207
St Andrews University,-79.478385,34.746283,510,530,490,23,64,23332,40000,40000,Private not-for-profit,595,4,178,898
Wake Forest University,-80.279004,36.135301,,,,,35,44742,60242,60242,Private not-for-profit,4823,82,1232,11121
Warren Wilson College,-82.441097,35.611762,660,590,610,27,70,29540,43000,43000,Private not-for-profit,830,40,220,1214
Wingate University,-80.444465,34.979384,550,570,530,24,79,25040,37740,37740,Private not-for-profit,2009,47,642,5323
Winston-Salem State University,-80.224905,36.089197,470,490,460,19,56,5468,16708,25521,Public,4938,18,685,5164
Western Carolina University,-83.125447,35.28149,560,570,530,24,38,6265,18599,28196,Public,8448,32,1558,15231
Dickinson State University,-102.800511,46.882677,533,505,475,23,49,5846,16044,18396,Public,1449,15,165,417
University of Jamestown,-98.697209,46.915402,570,530,,24,57,18494,28738,28738,Private not-for-profit,955,33,261,1088
University of Mary,-100.752386,46.724893,570,560,,25,83,14730,24121,24121,Private not-for-profit,2044,28,440,945
Mayville State University,-97.322545,47.504671,,,,,,6353,16445,18767,Public,1036,21,,
Minot State University,-101.300624,48.246877,500,543,,24,57,6086,16196,16196,Public,3254,14,397,959
University of North Dakota,-97.070823,47.921881,590,610,550,26,74,7508,21162,31448,Public,11724,24,2360,5404
North Dakota State University-Main Campus,-96.805689,46.894523,625,650,580,26,84,7660,19460,30042,Public,11948,26,2553,5812
Valley City State University,-98.001762,46.919144,460,510,440,23,83,6516,16986,25066,Public,1211,23,186,345
University of Akron Main Campus,-81.510328,41.077768,590,610,,25,96,10054,23956,32320,Public,20477,16,3812,10575
Ashland University,-82.320621,40.860987,550,550,530,25,74,29836,42833,42833,Private not-for-profit,3198,42,623,2931
Baldwin Wallace University,-81.849112,41.373938,610,590,,27,64,27840,39230,39230,Private not-for-profit,3425,55,762,4220
Bluffton University,-83.897678,40.896998,560,580,,25,53,28504,41864,41864,Private not-for-profit,1053,52,250,1784
Bowling Green State University-Main Campus,-83.637531,41.377036,560,570,580,24,72,10726,23506,30814,Public,14477,31,3348,15689
Capital University,-82.937867,39.954875,600,610,580,27,76,31990,44350,44350,Private not-for-profit,2788,52,691,3640
Case Western Reserve University,-81.605769,41.500812,720,760,710,33,42,41800,57798,57798,Private not-for-profit,4661,65,1252,18418
Cedarville University,-83.812098,39.750338,640,640,630,29,74,26420,35020,35020,Private not-for-profit,3238,61,781,3267
Central State University,-83.876795,39.716465,470,450,,19,33,6058,17804,25256,Public,2036,10,420,7142
University of Cincinnati-Main Campus,-84.51428,39.131159,620,640,600,28,73,10784,27434,42466,Public,23706,25,4486,16002
Ohio Christian University,-82.905986,39.610895,490,490,470,23,97,17720,33418,33418,Private not-for-profit,3528,16,719,1455
Cleveland State University,-81.673052,41.502918,570,580,,25,63,9499,25317,28496,Public,12133,8,1727,6768
University of Dayton,-84.173662,39.73686,600,630,590,29,53,35800,49540,49540,Private not-for-profit,7975,60,1761,15719
Defiance College,-84.356596,41.300336,530,550,,23,72,28690,41700,41700,Private not-for-profit,892,38,241,1704
Denison University,-82.520625,40.072582,660,670,,31,46,43910,56520,56520,Private not-for-profit,2274,78,582,4770
The University of Findlay,-83.652067,41.05441,570,580,560,26,68,29798,41306,41306,Private not-for-profit,3872,44,581,2260
Heidelberg University,-83.166581,41.114337,,,,,,26180,38154,38154,Private not-for-profit,1107,35,,
Hiram College,-81.141552,41.310998,600,580,560,25,57,30290,43145,43145,Private not-for-profit,1283,57,290,2542
John Carroll University,-81.533103,41.488978,590,600,600,27,83,34480,48310,48310,Private not-for-profit,3040,65,793,3721
Kent State University at Salem,-80.835458,40.86408,,,,,,5554,,,Public,1844,11,,
Kent State University at Kent,-81.342253,41.146856,570,570,560,25,83,9816,24926,32886,Public,22968,28,4111,15970
Kenyon College,-82.397977,40.374408,720,690,730,32,38,45640,60070,60070,Private not-for-profit,1705,86,483,4054
Lake Erie College,-81.251817,41.717841,520,540,515,23,56,27368,40364,40364,Private not-for-profit,922,28,205,1158
Lourdes University,-83.706649,41.708694,,,,,69,17655,31157,31157,Private not-for-profit,1806,7,227,1307
Malone University,-81.383525,40.826516,558,578,,26,72,25678,37934,37934,Private not-for-profit,1656,46,316,1333
Marietta College,-81.450038,39.417638,,630,660,27,64,31940,44362,44362,Private not-for-profit,1416,44,385,4168
Miami University-Oxford,-84.731821,39.509642,650,680,,30,67,13800,29701,45491,Public,15462,68,3644,22520
University of Mount Union,-81.108624,40.905093,540,580,,25,71,27380,38895,38895,Private not-for-profit,2096,53,552,2660
Mount Vernon Nazarene University,-82.474667,40.373859,620,580,,26,63,23690,35020,35020,Private not-for-profit,1829,49,302,1279
College of Mount St Joseph,-84.640143,39.094519,520,550,,24,88,25800,35880,35880,Private not-for-profit,1795,39,324,1197
Muskingum University,-81.737192,39.996635,520,540,500,24,76,23662,35694,35694,Private not-for-profit,1728,29,405,2001
Notre Dame College,-81.516212,41.506938,500,520,,22,90,26344,38502,38502,Private not-for-profit,1989,18,338,2468
Oberlin College,-82.221786,41.29474,740,715,730,32,30,46870,62132,62132,Private not-for-profit,2894,76,781,7438
Ohio Dominican University,-82.940499,39.99265,540,580,520,24,49,28932,42087,42087,Private not-for-profit,2005,29,239,2652
Ohio Northern University,-83.830729,40.766144,620,650,620,29,68,36720,50960,50960,Private not-for-profit,2702,53,613,3325
Ohio State University-Lima Campus,-84.026195,40.737828,,,,,,7140,,,Public,1059,20,,
Ohio State University-Mansfield Campus,-82.578673,40.797259,,,,,,7140,22036,37756,Public,1155,20,,
Ohio State University-Marion Campus,-83.085889,40.579444,,,,,,7140,,,Public,1230,21,,
Ohio State University-Newark Campus,-82.447992,40.068353,,,,,,7140,22036,37756,Public,2263,19,,
Ohio State University-Main Campus,-83.009001,39.998389,660,720,660,31,56,10037,25479,41199,Public,44201,59,7130,31359
Ohio University-Main Campus,-82.101064,39.326799,600,600,580,26,73,10446,24396,33360,Public,23504,48,4244,20765
Ohio Wesleyan University,-83.067912,40.296912,620,630,610,27,75,40510,55690,55690,Private not-for-profit,1830,54,541,4029
Otterbein University,-82.936231,40.12534,590,585,570,26,74,31424,44276,44276,Private not-for-profit,2479,2,575,3176
University of Rio Grande,-82.377359,38.88058,,,,,,20780,35008,35008,Private not-for-profit,2206,23,,
Shawnee State University,-82.995357,38.730909,,,,,,7177,21451,26565,Public,4255,13,,
Franciscan University of Steubenville,-80.623094,40.376086,650,620,,28,76,23160,34490,34490,Private not-for-profit,2112,61,460,1889
Tiffin University,-83.18355,41.119193,523,540,,23,39,20700,36481,36481,Private not-for-profit,3764,34,1313,5228
University of Toledo,-83.615225,41.65795,570,600,560,25,91,9275,24109,33229,Public,16153,23,3428,11066
Union Institute & University,-84.500139,39.126856,,,,,,11904,,,Private not-for-profit,1241,25,,
Urbana University,-83.760035,40.099881,,,,,,21566,31686,31686,Private not-for-profit,1584,24,,
Ursuline College,-81.466716,41.494971,630,580,600,24,58,26720,38344,38344,Private not-for-profit,805,28,103,441
Walsh University,-81.36911,40.873295,570,580,,25,77,25840,39390,39390,Private not-for-profit,2385,44,493,1640
Wilberforce University,-83.879358,39.707993,,,,,58,15140,26890,26890,Private not-for-profit,463,39,69,1534
Wilmington College,-83.817271,39.441097,550,570,,24,46,28190,40057,40057,Private not-for-profit,1169,33,275,3780
Wittenberg University,-83.814082,39.937463,620,620,,25,89,38030,50766,50766,Private not-for-profit,1959,59,549,5274
The College of Wooster,-81.934674,40.81046,670,660,650,30,56,41680,53500,53500,Private not-for-profit,2116,70,560,5583
Wright State University-Main Campus,-84.064881,39.780634,,,,,,8542,22438,30442,Public,12796,19,,
Xavier University,-84.477648,39.149291,600,610,590,27,70,33000,46520,46520,Private not-for-profit,4620,66,1289,10907
Youngstown State University,-80.646515,41.105583,,,,,,8129,20343,20572,Public,12138,9,,
Bacone College,-95.335337,35.77707,485,510,,19,72,14050,28010,28010,Private not-for-profit,965,0,249,2445
Oklahoma Wesleyan University,-95.954124,36.717752,520,560,500,24,49,22252,34960,34960,Private not-for-profit,1214,50,187,2335
Southern Nazarene University,-97.629504,35.513295,,,,,,22044,32844,32844,Private not-for-profit,1743,33,,
Cameron University,-98.434163,34.606487,,,,,,5055,15337,22777,Public,5358,8,,
University of Central Oklahoma,-97.470985,35.658239,,,,24,84,5437,17293,25407,Public,15218,10,2223,10432
East Central University,-96.664196,34.773805,530,560,,23,98,5241,13063,20465,Public,3757,17,612,968
Langston University,-97.260263,35.943953,,,,,,3815,16465,21889,Public,2075,16,,
Northeastern State University,-94.968528,35.920499,,,,23,73,4992,14298,21318,Public,7418,12,847,1889
Northwestern Oklahoma State University,-98.667596,36.796313,,,,22,60,5642,14522,20644,Public,2077,13,437,888
Oklahoma Christian University,-97.468312,35.609042,620,610,570,28,63,18800,29825,29825,Private not-for-profit,1962,28,533,1984
Oklahoma Panhandle State University,-101.638488,36.594518,,,,21,48,6739,15888,15888,Public,1375,16,289,858
Oklahoma State University-Main Campus,-97.069743,36.123085,600,620,,28,76,7442,21842,34427,Public,20660,33,3872,11064
Oklahoma Baptist University,-96.934334,35.359949,600,600,,27,56,21842,33400,33400,Private not-for-profit,2019,47,580,6560
Oklahoma City University,-97.541242,35.495271,620,610,620,29,72,29426,44356,44356,Private not-for-profit,1964,49,351,1442
University of Oklahoma-Norman Campus,-97.445692,35.208152,630,650,,29,80,8916,23441,35630,Public,20985,35,4052,10991
Oral Roberts University,-95.954215,36.050705,570,560,,25,44,22508,36950,36950,Private not-for-profit,2884,41,399,1417
Rogers State University,-95.635739,36.319609,,,,23,54,5349,18451,25105,Public,4473,9,785,1864
Saint Gregory's University,-96.954186,35.367401,,,,,95,20595,33389,33389,Private not-for-profit,633,15,127,602
University of Science and Arts of Oklahoma,-97.95641,35.031392,545,530,,24,62,4866,13106,19538,Public,918,27,150,594
Southeastern Oklahoma State University,-96.376381,34.00361,,,,22,80,5315,15045,23170,Public,3498,13,538,1001
Southwestern Christian University,-97.639411,35.513596,575,605,570,23,88,14220,26470,26470,Private not-for-profit,804,35,254,405
Southwestern Oklahoma State University,-98.707964,35.534609,,,,24,90,5460,17613,23973,Public,4162,14,913,2536
University of Tulsa,-95.945175,36.151887,710,690,,32,41,34835,51035,51035,Private not-for-profit,3428,51,856,7304
Concordia University-Portland,-122.637944,45.568242,550,550,,24,56,27492,39022,39022,Private not-for-profit,1388,36,217,1790
Eastern Oregon University,-118.09384,45.320392,530,520,500,,67,7530,21090,30315,Public,3754,15,426,1503
George Fox University,-122.968394,45.30399,600,600,590,26,75,31120,43800,43800,Private not-for-profit,2384,52,624,2431
Lewis & Clark College,-122.672478,45.450547,700,670,690,31,63,41928,55666,55666,Private not-for-profit,2126,67,473,6458
Linfield College-McMinnville Campus,-123.200464,45.201333,600,600,570,26,92,36310,48182,48182,Private not-for-profit,1671,59,449,2139
Marylhurst University,-122.647755,45.398174,,,,,39,19665,,,Private not-for-profit,741,0,8,36
Northwest Christian University,-123.079754,44.047483,535,530,540,23,70,24930,37470,37470,Private not-for-profit,484,42,82,318
Oregon Institute of Technology,-121.785177,42.257152,550,580,530,25,71,8548,21163,34803,Public,4366,18,363,2778
Oregon State University,-123.274721,44.56274,600,630,,27,79,8322,23559,38751,Public,23157,30,3516,12414
University of Oregon,-123.07398,44.044515,600,620,,27,74,9763,24352,44377,Public,20797,44,4031,21263
Pacific University,-123.108777,45.521394,600,610,,27,86,37024,50486,50486,Private not-for-profit,1785,52,421,2658
Portland State University,-122.683553,45.511229,590,580,,,61,7878,23528,38738,Public,22927,18,1465,5751
University of Portland,-122.726859,45.571807,650,650,,,67,38670,53958,53958,Private not-for-profit,3494,70,835,9523
Reed College,-122.63064,45.480376,750,720,720,33,49,46010,59630,59630,Private not-for-profit,1395,70,354,2893
Southern Oregon University,-122.694034,42.186467,570,560,540,,73,7438,21367,33829,Public,5500,18,673,2615
Warner Pacific College,-122.562241,45.50349,,,,,53,19770,32166,32166,Private not-for-profit,503,23,85,948
Corban University,-122.958413,44.88408,590,590,568,26,32,27431,40407,40407,Private not-for-profit,936,46,222,2896
Willamette University,-123.030727,44.935743,660,650,640,29,58,42305,54813,54813,Private not-for-profit,2119,71,545,8109
Western Oregon University,-123.238785,44.851866,530,540,,,88,8634,22581,35706,Public,5263,20,1026,2848
Bryn Athyn College of the New Church,-75.06093,40.131358,580,550,530,25,52,17724,29734,29734,Private not-for-profit,270,6,81,396
Albright College,-75.910152,40.360248,560,570,,25,62,36660,49160,49160,Private not-for-profit,2349,48,655,6060
Allegheny College,-80.146922,41.648068,640,650,630,29,65,39100,52020,52020,Private not-for-profit,2161,74,604,4512
DeSales University,-75.376549,40.540137,590,600,,26,76,31250,48398,48398,Private not-for-profit,2482,63,416,2624
Alvernia University,-75.938163,40.3102,530,540,530,22,78,29060,43250,43250,Private not-for-profit,2371,35,389,1792
Arcadia University,-75.165205,40.091941,600,578,590,27,60,36810,51970,51970,Private not-for-profit,2453,53,597,9608
Bloomsburg University of Pennsylvania,-76.446383,41.007989,530,550,530,23,89,8582,22182,32306,Public,9416,42,2218,9248
Bryn Mawr College,-75.314988,40.028541,710,760,720,32,40,43900,59760,59760,Private not-for-profit,1328,81,365,2708
Bucknell University,-76.886275,40.954489,680,720,690,32,30,46902,61060,61060,Private not-for-profit,3532,87,933,7947
Cabrini College,-75.37215,40.054565,500,500,500,23,74,29000,45322,45322,Private not-for-profit,1337,39,304,2127
California University of Pennsylvania,-79.884477,40.066473,530,540,510,21,93,9239,24860,28712,Public,6450,31,1154,3022
Carlow University,-79.963927,40.439851,525,510,520,23,95,25416,38450,38450,Private not-for-profit,2100,47,206,669
Carnegie Mellon University,-79.942914,40.444616,740,790,750,34,25,47642,62032,62032,Private not-for-profit,5917,74,1442,18884
Cedar Crest College,-75.519799,40.586695,520,530,510,24,59,33000,45021,45021,Private not-for-profit,1286,50,141,1063
Chatham University,-79.926083,40.448432,,,,,61,32454,46162,46162,Private not-for-profit,973,44,92,594
Chestnut Hill College,-75.228847,40.087048,540,520,520,23,58,31170,44378,44378,Private not-for-profit,1517,27,192,1829
Cheyney University of Pennsylvania,-75.529378,39.932293,,,,,,8806,21716,26212,Public,1179,9,,
Clarion University of Pennsylvania,-79.374775,41.209676,510,520,500,,93,9404,22120,25953,Public,5199,33,1072,2071
Delaware Valley College,-75.158202,40.29757,563,560,540,25,68,32890,47467,47467,Private not-for-profit,1807,47,416,1895
Dickinson College,-77.197854,40.202796,675,690,680,31,44,46094,60183,60183,Private not-for-profit,2396,83,625,5826
Drexel University,-75.188745,39.954855,630,680,630,30,81,37505,57870,57870,Private not-for-profit,16616,28,3040,43945
Duquesne University,-79.993046,40.437496,600,610,600,27,74,31385,44567,44567,Private not-for-profit,5970,66,1547,6793
East Stroudsburg University of Pennsylvania,-75.172614,40.99622,480,530,,22,78,8991,20866,30990,Public,6186,36,1210,5621
Eastern University,-75.370268,40.052306,570,570,560,24,64,28090,42192,42192,Private not-for-profit,2541,49,459,1821
Edinboro University of Pennsylvania,-80.126363,41.869978,520,520,500,22,87,8849,20287,24139,Public,5864,23,1191,3187
Elizabethtown College,-76.594175,40.150372,610,620,,28,70,38200,49650,49650,Private not-for-profit,1844,71,530,3815
Franklin and Marshall College,-76.319037,40.048045,,,,,39,46285,60765,60765,Private not-for-profit,2297,84,599,5174
Gannon University,-80.086258,42.126111,560,590,,26,80,27546,41820,41820,Private not-for-profit,3111,48,622,3983
Geneva College,-80.352545,40.773474,590,600,570,26,68,25220,36520,36520,Private not-for-profit,1541,59,334,1670
Gettysburg College,-77.234982,39.836091,690,680,,29,42,45870,58320,58320,Private not-for-profit,2524,80,703,5453
Gratz College,-75.133025,40.065782,,,,,,,,,Private not-for-profit,11,,,
Gwynedd Mercy University,-75.238052,40.197566,520,530,520,22,66,29450,42030,42030,Private not-for-profit,2062,50,211,1232
Haverford College,-75.302562,40.013368,750,740,750,33,23,45426,61898,61898,Private not-for-profit,1187,91,330,3585
Holy Family University,-74.990365,40.060414,510,510,510,22,76,27100,41960,41960,Private not-for-profit,2182,38,297,1350
Immaculata University,-75.57063,40.027963,530,520,530,21,80,30740,49130,49130,Private not-for-profit,2560,39,247,1650
Indiana University of Pennsylvania-Main Campus,-79.159869,40.615589,530,540,520,22,90,9080,23920,35056,Public,12668,31,2741,9367
Juniata College,-78.015204,40.499511,,,,,74,37170,49220,49220,Private not-for-profit,1625,72,391,2227
Keystone College,-75.777456,41.558969,500,500,490,21,72,21300,35500,35500,Private not-for-profit,1574,26,321,1120
King's College,-75.878603,41.248118,,,,,72,30310,45468,45468,Private not-for-profit,2144,61,500,2780
Kutztown University of Pennsylvania,-75.785426,40.513705,520,530,510,22,82,8819,22265,32389,Public,8815,34,1815,7785
La Roche College,-80.011977,40.569777,520,520,470,24,56,24778,38434,38434,Private not-for-profit,1363,33,229,1488
La Salle University,-75.152996,40.038503,550,550,,25,80,38200,51770,51770,Private not-for-profit,4409,55,939,5547
Lafayette College,-75.209058,40.700512,670,700,690,31,34,44670,59750,59750,Private not-for-profit,2486,85,635,6766
Lebanon Valley College,-76.513753,40.331733,600,620,,27,67,35700,48630,48630,Private not-for-profit,1766,68,415,3793
Lehigh University,-75.378887,40.607158,670,740,,32,31,43520,57145,57145,Private not-for-profit,4931,73,1198,12589
Lincoln University of Pennsylvania,-75.928273,39.807725,470,470,460,20,61,9804,23239,28519,Public,1624,23,448,3240
Lock Haven University,-77.463565,41.142097,510,520,500,23,88,8899,21874,29998,Public,4855,28,1052,3744
Lycoming College,-77.0003,41.246127,570,580,550,26,72,33746,46707,46707,Private not-for-profit,1307,54,347,1737
Mansfield University of Pennsylvania,-77.07299,41.79971,530,540,500,23,92,9192,22434,32558,Public,2717,35,629,2023
Marywood University,-75.633996,41.434978,570,580,570,,71,30690,46556,46556,Private not-for-profit,2148,54,407,2021
Mercyhurst University,-80.055568,42.103991,580,580,560,26,75,30300,44838,44838,Private not-for-profit,2680,54,600,2938
Messiah College,-76.988492,40.15867,620,640,620,29,66,30470,42990,42990,Private not-for-profit,2772,71,648,2836
Millersville University of Pennsylvania,-76.355091,39.99813,550,560,540,24,72,8866,21309,31433,Public,7388,37,1299,5455
Misericordia University,-75.971016,41.344765,560,580,,26,65,28210,41940,41940,Private not-for-profit,2417,64,435,2125
Moravian College,-75.380979,40.630888,,,,,80,35518,49090,49090,Private not-for-profit,1553,70,356,1636
Mount Aloysius College,-78.601358,40.459948,490,510,490,22,69,20268,34598,34598,Private not-for-profit,1781,18,379,1546
Muhlenberg College,-75.508954,40.597362,670,670,670,31,46,42755,55370,55370,Private not-for-profit,2448,81,579,5152
Neumann University,-75.437928,39.874944,470,480,470,20,55,24948,39475,39475,Private not-for-profit,2573,29,503,3397
Pennsylvania State University-Penn State Erie-Behrend College,-79.986362,42.120271,560,600,540,25,84,14240,30840,37902,Public,3943,46,1080,3437
Pennsylvania State University-Penn State Great Valley,-75.521311,40.052845,,,,,,,,,Public,0,,,
Pennsylvania State University-Penn State New Kensington,-79.703269,40.55382,550,570,520,27,74,13412,,,Public,680,34,154,477
Pennsylvania State University-Penn State Shenango,-80.508204,41.234852,480,510,480,22,69,13318,,,Public,568,14,90,229
Pennsylvania State University-Penn State Wilkes-Barre,-76.017242,41.306529,550,570,500,23,82,13354,,,Public,606,30,148,472
Pennsylvania State University-Penn State Worthington Scranton,-75.620583,41.440258,520,530,500,22,82,13486,,,Public,1178,22,282,722
Pennsylvania State University-Penn State Lehigh Valley,-75.401798,40.557651,550,570,530,28,85,13602,,,Public,889,36,225,909
Pennsylvania State University-Penn State Altoona,-78.409112,40.540682,530,560,530,23,85,14240,30840,37902,Public,3861,48,1379,5700
Pennsylvania State University-Penn State Beaver,-80.296235,40.678254,530,540,500,24,87,13470,30070,36676,Public,703,25,208,670
Pennsylvania State University-Penn State Berks,-75.972141,40.357987,530,570,520,25,83,14240,30840,37902,Public,2712,35,814,2570
Pennsylvania State University-Penn State Harrisburg,-76.741961,40.205234,550,600,540,24,80,14240,30840,37902,Public,3577,39,628,2792
Pennsylvania State University-Penn State Brandywine,-75.447825,39.928355,520,560,530,23,79,13608,,,Public,1492,17,368,1279
Pennsylvania State University-Penn State Dubois,-78.751784,41.126941,520,550,505,22,88,13354,,,Public,704,33,183,439
Pennsylvania State University-Penn State Fayette- Eberly,-79.654944,39.948498,520,550,500,21,89,13412,,,Public,846,21,224,610
Pennsylvania State University-Penn State Hazleton,-76.031567,40.984157,520,540,500,24,86,13550,30150,36826,Public,951,30,433,1179
Pennsylvania State University-Main Campus,-77.861644,40.800732,630,670,640,29,54,16992,33592,46166,Public,40085,65,7649,47552
Pennsylvania State University-Penn State Greater Allegheny,-79.827262,40.344474,520,560,500,24,80,13464,30064,36670,Public,623,24,201,699
Pennsylvania State University-Penn State Mont Alto,-77.544068,39.841914,530,555,510,23,83,13470,30070,36676,Public,1022,33,325,827
Pennsylvania State University-Penn State Abington,-75.110661,40.116995,510,550,510,24,78,13608,,,Public,3690,26,691,3221
Pennsylvania State University-Penn State Schuylkill,-76.166371,40.642583,485,490,470,21,81,13550,30150,36826,Public,837,24,248,693
Pennsylvania State University-Penn State York,-76.702835,39.952327,540,570,520,25,84,13602,,,Public,1141,27,300,1329
Peirce College,-75.166332,39.945483,,,,,,17040,,,Private not-for-profit,1759,,,
University of Pennsylvania,-75.193618,39.951002,760,780,780,34,12,45890,61800,61800,Private not-for-profit,11525,88,2421,31282
Philadelphia University,-75.194249,40.022281,570,590,570,25,64,33690,49426,49426,Private not-for-profit,2811,45,550,5396
Cairn University-Langhorne,-74.909509,40.165809,588,550,,26,51,22455,34090,34090,Private not-for-profit,844,24,155,610
